"Date","Index of Retail Prices - All Items - (Jan. 15 =100)","Index of Retail Prices - Food - (Jan. 15 = 100)","Index of Retail Prices - Core (Jan. 15 = 100)","Index of Retail Prices - Clothing & Footwear - (Jan. 15 = 100)","Index of Retail Prices - Housing - (Jan. 15 = 100)","Index of Retail Prices - Rent - (Jan. 15 = 100)","Index of Retail Prices - Imputed Rent - (Jan. 15 = 100)","Index of Retail Prices - Water','Electricity','Gas and Other Fuels - (Jan. 15 = 100)","Index of Retail Prices - Transportation (Jan. 15 = 100)","Index of Retail Prices - Health (Jan. 15 = 100)","Index of Retail Prices - Communication (Jan. 15 = 100)","Index of Retail Prices - Education (Jan. 15 = 100)","Index of Retail Prices - Alcoholic Beverages and Tobacco (Jan. 15 = 100)","Index of Retail Prices - Furnishings','Household Equipment and Routine Maintenance of the House (Jan. 15 = 100)","Index of Retail Prices - Recreation and Culture (Jan. 15 = 100)","Index of Retail Prices - Hotels','Cafes and Restaurants (Jan. 15 = 100)","Index of Retail Prices - Miscellaneous Goods and Services (Jan. 15 = 100)","Per cent Change in the Index of Retail Prices - End of Period (%)","Per cent Change in the Index of Retail Prices (End of Period) - Core (%)","Per Cent Change in the Index of Retail Prices - Inflation Rate (%)","Per Cent Change in the Index of Retail Prices - Food (%)","Per cent Change in the Index of Retail Prices - Core (%)","Index of Retail Prices - Bread and Cereals - (Jan. 15 = 100)","Index of Retail Prices - Meats - (Jan. 15 = 100)","Index of Retail Prices - Fish - (Jan. 15 = 100)","Index of Retail Prices - Milk','Cheese and Eggs - (Jan. 15 = 100)","Index of Retail Prices - Butter','Margarine and Edible Oils - (Jan. 15 = 100)","Index of Retail Prices - Fruits - (Jan. 15 = 100)","Index of Retail Prices - Vegetables - (Jan. 15 = 100)","Index of Retail Prices - Non-Alcoholic Drinks - (Jan. 15 = 100)","Per cent Change in Index of Retail Prices - Bread and Cereals","Per cent Change in Index of Retail Prices - Meat","Per cent Change in Index of Retail Prices - Fish","Per cent Change in Index of Retail Prices - Milk','Cheese and Eggs","Per cent Change in Index of Retail Prices - Butter','Margarine and Edible Oils","Per cent Change in Index of Retail Prices - Fruits","Per cent Change in Index of Retail Prices - Vegetables","Per cent Change in Index of Retail Prices - Non-Alcoholic Drinks","Index of Retail Prices - All Items - (Jan. 15 = 100) - Tobago","Index of Retail Prices - Food - (Jan. 15 = 100) - Tobago","Index of Retail Prices - Core - (Jan. 15 = 100) - Tobago","Index of Retail Prices - All Items - (Year-On-Year Per Cent Change) - Tobago","Index of Retail Prices - Food - (Year-On-Year Per Cent Change) - Tobago","Index of Retail Prices - Core - (Year-On-Year Per Cent Change) - Tobago","WTI Crude Oil Price (US$/bbl)","Henry Hub Natural Gas Price (US$/mmbtu)","Price of Ammonia (US$/Tonne)","Price of Methanol (US$/Tonne)","Price of Motor Gasoline (US ¢/gallon)","Price of Natural Gasoline","Price of Propane (US ¢/gallon)","Price of Urea (US$/MT)"
"2001","40.8","13.7","69.5","98.8","76.1","58.3","78.4","77.1","64.1","n.d","n.d","n.d","42.7","84.1","65.1","50","63.2","3.2","0.8","5.5","13.9","1.1","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","25.9","4","137.6","198.1","73.9","n.d","47.2","114.3"
"2000","38.7","12.1","68.7","100.2","76","57.7","78.4","76.9","62.8","n.d","n.d","n.d","41.2","84.4","62.7","49.9","61.3","5.6","1.6","3.6","8.3","1.2","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","30.3","4.3","146.4","167.9","83.4","n.d","58.2","130.3"
"1999","37.4","11.1","67.9","101.9","75.5","56.1","78.1","74.8","61.8","n.d","n.d","n.d","40","84.7","60.1","50.3","59.4","3.4","0.5","3.4","8.7","1","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","19.2","n.d","91.7","109.3","n.d","n.d","n.d","81.7"
"1998","36.1","10.2","67.2","104.6","74.3","55.3","76.8","74.2","61.2","n.d","n.d","n.d","38.8","84.2","58.6","49.5","58","5.6","2","5.6","15.1","1.8","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","14.4","n.d","118.2","138.8","n.d","n.d","n.d","105.2"
"1997","34.2","8.9","66","105.3","72.6","53.9","75.1","74.2","60.2","n.d","n.d","n.d","37.4","84","56.3","48.5","56.1","3.5","1.1","3.6","10","1.3","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","20.6","n.d","162.3","185.3","n.d","n.d","n.d","137.9"
"1996","33","8.1","65.2","106.6","72.3","53.3","74.8","74.2","59.1","n.d","n.d","n.d","35.7","81.3","54.5","47.7","55.1","4.3","1.3","3.3","10.2","1","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","22.1","n.d","187.6","153.2","n.d","n.d","n.d","195"
"1995","31.9","7.3","64.6","107.6","71.5","51","74.3","74.2","58.6","n.d","n.d","n.d","35.2","80.2","53.4","44.9","54","3.8","1.6","5.3","16.8","1.8","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","18.4","n.d","198.8","267.7","n.d","n.d","n.d","205.6"
"1994","30.3","6.3","63.4","109","69.6","50.8","72.1","74.2","57.5","n.d","n.d","n.d","32.7","79.7","51.5","44.1","52.8","5.5","2.1","8.8","17.4","4.5","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","17.2","n.d","169.2","269.2","n.d","n.d","n.d","148"
"1993","27.9","5.4","60.7","109.6","66.8","50.7","67.6","71.6","53","n.d","n.d","n.d","31.6","76.8","48.8","41.1","49.1","13.4","5.3","10.8","18.9","2.5","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","18.5","n.d","112.4","122","n.d","n.d","n.d","126.2"
"1992","25.2","4.5","59.2","110.8","65.2","50","62.6","71.7","50.5","n.d","n.d","n.d","30.7","75","47","39.2","45.7","8.5","4.3","6.5","8.7","4.2","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","20.6","n.d","87.3","124.2","n.d","n.d","n.d","138.7"
"1991","23.6","4.1","56.8","111.3","64.8","50.1","60","66.9","46.2","n.d","n.d","n.d","25.5","74.8","44.6","38.3","43.9","2.3","0.9","3.9","6.1","1.7","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","n.d","21.5","n.d","104.9","176.3","n.d","n.d","n.d","154.9"
"Invalid date","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
