"Date","QEA Index (2010 = 100)","QEA Index (2010 = 100) - Energy","QEA Index (2010 = 100) - Other Petroleum","QEA Index (2010 = 100) - Petrochemicals","QEA Index (2010 = 100) - Non-Energy","QEA Index (2010 = 100) - Agriculture","QEA Index (2010 = 100) - Manufacturing","QEA Index (2010 = 100) - Water and Electricity","QEA Index (2010 = 100) - Construction","QEA Index (2010 = 100) - Distribution","QEA Index (2010 = 100) - Finance","QEA Index (2010 = 100) - Transport","QEA Index (2010 = 100) - Government","QEA Index (2010 = 100) - Other Services","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Agriculture - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Construction - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Distribution - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Electricity & Water - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Finance Insurance & Real Estate - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Government - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Manufacturing - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Non-Petroleum Sector - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Other Services - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Petroleum Sector - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Petrochemicals - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Other Petroleum - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Total - 2010 = 100","Per Cent Changes in Real Economic Activity (quarter-on-quarter) - Transport Storage & Communication - 2010 = 100","Per Cent Changes in Real Economic Activity (year-on-year) (2010 = 100)","Per Cent Changes in Real Economic Activity (year-on-year) - Petroleum (2010 = 100)","Per Cent Changes in Real Economic Activity (year-on-year) - Other Petroleum 2010 = 100","Per Cent Changes in Real Economic Activity (year-on-year) - Petrochemicals 2010 = 100","Per Cent Changes in Real Economic Activity (year-on-year) - Non Petroleum 2010 = 100","Per Cent Changes in Real Economic Activity (year-on-year) - Agriculture 2010 = 100","Per Cent Changes in Real Economic Activity (year-on-year) - Manufacturing 2010 = 100","Per Cent Changes in Real Economic Activity (year-on-year) - Construction 2010 = 100","Per Cent Changes in Real Economic Activity (year-on-year) - Electricity and Water 2010 = 100","Per Cent Changes in Real Economic Activity (year-on-year) - Distribution 2010 = 100","Per Cent Changes in Real Economic Activity (year-on-year) - Transport 2010 = 100","Per Cent Changes in Real Economic Activity (year-on-year) - Finance 2010 = 100","Real GDP Growth (year-on-year) - Government 2010 = 100","Per Cent Changes in Real Economic Activity (year-on-year) - Other Services 2010 = 100","Index of Productivity (1995 =100)"
"Dec-2017","93.9","80.7","78.8","90","103.2","99.5","87.7","110.4","89","111.6","116.8","109.8","99.6","101","0.4","-0.6","0.7","0.1","-0.3","3","5.8","1.2","0.1","-1.1","-0.7","-1.1","0.4","2.3","-1.6","2.7","1.4","8.9","-3.8","-8.6","-3.2","-6.9","-1","-5.8","2.4","-1.3","-4.3","-1","364.6"
"Sep-2017","93.5","81.6","79.7","90.7","102","99.2","82.9","110.3","89.6","110.8","117.2","107.4","96.7","100.9","-6.8","0.3","-1.3","-0.3","0","-5.4","-1","-1.3","-1.2","8.5","5.9","9.1","2","-0.1","2.7","12.6","13","11.1","-2.2","7","-2.6","-4","-0.1","-3.6","-0.1","-0.9","-1.5","-0.1","409.9"
"Jun-2017","91.7","75.2","73","85.6","103.3","106.4","83.8","110.6","89.3","112.4","117.2","107.5","102.2","102.1","-6.7","-6.1","1.2","1.3","-0.3","-2.1","3.1","-0.3","0.1","-2.2","6.4","-4.1","-1","0","-3.4","-3.1","-4.6","3.8","-3.5","13.7","-6.9","-4.1","0.3","-6","0.1","-0.9","-2.5","-0.5","386.2"
"Mar-2017","92.6","76.9","76.2","80.5","103.7","114.1","81.3","109.1","95.2","111","117.5","107.5","104.4","102","4.8","-0.4","-6.1","-2.1","-0.8","0.3","-10.3","-3.2","0","-2.1","-2.6","-2","-2.8","0.1","-5.8","-7","-6.8","-7.6","-5.2","13.4","-5.3","-7.1","-1.9","-10.8","-2","-0.5","0.4","-0.5","369.5"
"Dec-2016","95.3","78.6","77.7","82.7","107.1","108.9","90.6","111.5","95.5","118.2","118.5","107.3","104","102","17.5","2.9","2.7","1","0.2","6","6.5","2.7","1","8.4","1.3","10.2","4.6","0.2","-6.7","-10.1","-9.5","-12.9","-4.9","20.7","-4.3","-14.6","0.6","-6.3","-2.1","1","-3","0","366"
"Sep-2016","91.1","72.5","70.6","81.6","104.2","92.7","85.1","110.4","92.9","115.2","118.3","107.1","98.2","101","-0.9","-0.8","-4","0","0","-6.4","-5.5","-2.9","-1.6","-6.6","-1","-7.9","-4.2","-0.4","-11.9","-17.8","-19.6","-9.6","-8.6","-2.3","-10.2","-23.8","-3.7","-8.1","-1.9","0.8","-10.8","-0.8","384.2"
"Jun-2016","95","77.6","76.6","82.4","107.4","93.5","90","110.4","93.6","119.9","118.2","107.6","104.8","102.6","-7","-8.7","-3.2","-0.6","0.2","0.8","4.8","-1.9","0.1","-6.2","-5.4","-6.3","-3.4","-1.9","-8.2","-12.4","-14","-4.7","-5.8","0.6","-7.3","-23.5","-1.9","-3.4","0.1","1.5","-3.9","0.3","368.7"
"Mar-2016","98.4","82.7","81.8","87.1","109.5","100.5","85.9","111","102.5","124","118","109.7","104","102.5","11.5","-8.1","-1.7","0.3","0.5","-3","-9.3","-2.8","0.4","-5.4","-8.2","-4.8","-3.7","-0.1","-5.3","-9","-10.6","-1.2","-3.1","13.4","-6.8","-15.7","-1.9","-2.3","1.6","1.8","-1.3","1","390.3"
"Dec-2015","102.2","87.4","85.8","94.9","112.6","90.2","94.7","110.7","111.6","126.1","117.4","109.7","107.2","102.1","-5","-7.9","0.6","-3.6","0.1","-2.5","-0.1","-1.2","0.3","-0.9","5.1","-2.1","-1.1","0.9","-1.4","-1.6","-5.4","18.9","-1.3","7.9","-8","-8.3","-0.8","0.1","0.5","2.3","-0.2","1.7","361.1"
"Sep-2015","103.3","88.1","87.7","90.3","114","94.9","94.8","114.9","121.1","125.4","117.3","108.8","110","101.8","2","-2","0.4","2","0.7","0.8","-2.3","0","-0.5","-0.5","4.4","-1.5","-0.2","1","-1.6","-5.2","-7","4.4","0.5","14.3","-3.6","7.3","4","-2.1","4.4","2.7","1.4","-2.8","407"
"Jun-2015","103.5","88.6","89","86.5","114","93","97.1","112.6","123.5","124.9","116.4","107.7","109.1","102.2","4.9","1.4","-1.1","-0.3","0.5","3.6","5.4","1","0.8","-2.6","-1.9","-2.7","-0.3","-0.3","-2.6","-2.4","-2.4","-2.5","-2.7","1.7","-4.3","-3.2","2.5","-3.9","3.9","1.7","-6.4","-2.9","405.9"
"Mar-2015","103.8","90.9","91.5","88.2","112.9","88.7","92.1","112.9","121.8","126.3","115.9","108","105.3","101.5","6.1","0.5","0.5","1.2","0.9","-1.9","-10.5","-1","1.2","2.3","10.5","0.8","0.2","-1.3","-1.6","-3.1","-2.4","-6.6","-0.7","-8","-1.2","-1.4","0.7","0.8","6.1","1.8","-6.7","-4.2","386"
"Dec-2014","103.6","88.9","90.7","79.8","114.1","83.6","103","111.6","121.2","125.7","114.9","109.5","107.4","100.3","0.7","8.6","-2.1","1.1","0.6","-1","4.7","0.7","-4.2","-4.4","-7.7","-3.8","-1.2","5.5","-0.2","-4.4","-2.3","-14.3","2.2","11.3","3.4","7.2","-0.3","1.6","8.5","2.7","-2.5","-2.7","385.2"
"Sep-2014","104.9","93","94.3","86.5","113.3","83","98.3","110.5","111.7","128.3","114.2","103.8","108.5","104.7","-9.2","-13.5","-2","0.6","-0.2","-6.9","-3.1","-3.7","-0.5","2.4","-2.5","3.5","-1.6","0","2.2","2.4","2.1","4","2.1","-9.8","-2.5","-2","-2.2","5.4","2.2","3.4","0.8","1.8","396.5"
"Jun-2014","106.5","90.8","91.2","88.7","117.7","91.4","101.5","109.8","129.1","131","114.5","103.8","116.6","105.3","-5.2","4.1","5.2","-1.9","0.5","3.3","8.8","3.7","-0.6","-3.3","-6","-2.7","1.1","1.9","3.1","-3.6","-5.1","4.3","7.2","-2","-2.1","17.7","-1","10.9","3.5","5.5","2.9","2.1","394.7"
"Mar-2014","105.3","93.8","93.7","94.4","113.5","96.4","93.2","112","124","124.5","113.9","101.9","112.9","105.9","28.3","10.8","0.9","-0.1","1.9","2.5","-6.4","2","2.8","1","1.4","0.9","1.6","0.8","0.9","-2.5","-3.6","2.9","3.1","32.8","-4.1","7.4","3.1","2.2","1.4","5.9","1.9","3.7","386.4"
"Dec-2013","103.7","92.9","92.9","93.1","111.3","75.1","99.6","112.1","112","123.4","111.8","101.1","110.2","103","-18.4","-0.9","1","-1.1","1.3","2.4","-1.2","0.4","0.2","2.3","12","0.5","1.1","-0.1","3.3","3","0.7","15.5","3.4","-19.6","-7.8","2.5","2.7","9.4","0","5.8","-0.6","1.2","400.1"
"Sep-2013","102.6","90.8","92.4","83.1","110.9","92","100.9","113.3","113","122.1","110.4","101.2","107.6","102.9","-1.4","1.7","2.9","2.4","1.8","-5","-2.7","0.7","-0.3","-3.5","-2.3","-3.8","-0.9","0.8","1.9","-3.9","-3.1","-8","5.6","5.1","-0.6","12.5","6.1","9.6","-0.9","5.8","1.1","3.4","402.1"
"Jun-2013","103.5","94.2","96.1","85.1","110.1","93.3","103.7","110.7","111.1","118.7","108.4","100.4","113.3","103.2","28.6","-4.1","-2.2","2","0.7","2.3","6.7","0.1","1","-2.1","-7.3","-1.1","-0.8","-0.1","4.7","1.1","3.3","-9.3","7.1","17","4.2","28","3.5","11.1","-1.6","4.5","-1.8","2.7","391.2"
"Mar-2013","104.3","96.2","97.2","91.7","110","72.6","97.2","108.5","115.9","121.3","107.7","100.4","110.8","102.1","-22.3","7.2","8.1","-0.6","1.9","-0.1","-10.1","2.1","0.3","6.6","13.8","5.3","3.8","-0.9","4.9","-0.9","-0.5","-2.6","8.9","-23.1","1.3","48.6","3.1","10.4","-2.3","7.2","4.5","3.1","387.7"
"Dec-2012","100.5","90.2","92.2","80.6","107.7","93.4","108.1","109.2","108.1","112.3","105.7","101.3","110.9","101.8","6.7","8.5","0.3","2.1","1.3","4.2","6.5","2.6","2.3","-4.5","-10.8","-3.3","-0.2","-0.5","0.8","-1.5","-0.3","-7.5","2.2","-3.5","5.7","4.1","4.9","-0.6","0.7","4.2","7","3.6","365.9"
"Sep-2012","100.7","94.5","95.4","90.4","105","87.5","101.5","106.9","99.7","111.9","104.3","101.8","106.4","99.5","9.7","13.4","4.4","0.2","0.5","-7.8","2","1.8","-0.9","1.5","-3.7","2.6","1.7","-0.2","1.9","-0.3","1","-6.4","3.3","-10","-1.5","1","4.3","7.9","0.6","3.7","5","0.1","372.4"
"Jun-2012","99","93.1","93","93.8","103.2","79.8","99.5","106.7","87.9","107.2","103.8","102.1","115.4","100.5","-15.4","12.3","-2.1","1.3","3.1","8.9","3.7","2.4","1.5","-4.1","-0.4","-4.8","-0.2","-0.7","-2.1","-6.8","-7.1","-5.3","1.2","-10","-1.8","-8.5","0.9","1.1","0.8","3.9","14.4","-0.4","375.7"
"Mar-2012","99.2","97.1","97.7","94.2","100.7","94.4","95.9","105.3","78.3","109.5","100.6","102.8","106","99","-2.5","-23.9","-2.8","1.1","-0.7","2.2","-6.2","-4","0.8","6","8.1","5.6","-0.2","2","1.4","0.8","1.9","-4.2","1.8","6.4","2.9","-15.5","1.4","7","4.3","2.3","3.4","-1.3","382.9"
"Dec-2011","99.4","91.6","92.5","87.2","105","96.8","102.3","104.1","102.8","112.6","101.4","100.7","103.7","98.3","-0.4","4.7","8.2","1.4","0.8","2.3","-0.7","3.3","-1.2","-3.3","-9.7","-2","0.7","-0.3","0","-6.8","-6","-10.4","4.4","8.5","-2.4","6.5","3.9","11.7","0.3","1.6","-0.4","-1.9","349.4"
"Sep-2011","98.8","94.8","94.4","96.5","101.6","97.2","103","102.6","98.2","104.1","100.6","101","101.3","99.4","9.7","1.4","-1.9","-2.9","0.7","0.4","1.7","-0.4","-1.4","-5.1","-2.6","-5.6","-2.3","-0.3","-0.5","-5.4","-5.9","-2.7","2.9","3.5","5","7","2.4","4.9","0.8","0.8","0.5","-1.2","374"
"Jun-2011","101.1","99.9","100","99.1","102","88.6","101.3","105.7","96.9","106.1","99.9","101.3","100.9","100.8","-0.1","4.4","3.8","1.9","1.4","-1.6","8.7","3.1","0.5","3.7","0.8","4.3","3.3","2.8","1.6","1","0.2","4.9","2","-13.1","2.2","-2.7","5.1","4.1","1.6","-0.1","5.3","1.1","404.4"
"Mar-2011","97.9","96.3","95.9","98.4","99","88.7","93.2","103.7","92.9","102.3","98.5","98.5","102.5","100.3","-0.6","-3.3","1.6","3.4","-1.3","-1.6","-11.1","-1.8","0.1","-2","1.2","-2.6","-1.9","-2","-3.6","-6.2","-5.4","-9.8","-1.6","-22.8","-4.8","-18.2","4.9","4.4","-1.1","-2.1","3.2","0.9","365.8"
"Dec-2010","99.7","98.3","98.5","97.2","100.8","89.2","104.9","100.3","96","100.7","99.7","100.5","104.1","100.2","-5","5","1.4","0","0","3.3","6.9","2.1","-0.4","-1.9","-2","-1.8","0.4","0.3","-0.5","-6","-5.1","-8.7","3.4","-59.3","4.3","-12.6","0.7","27.4","-18.4","2.9","2.8","1.6","372.5"
"Sep-2010","99.3","100.2","100.3","99.3","98.7","93.9","98.1","100.3","91.4","99.3","99.7","100.1","100.8","100.7","-7.9","-8.7","-2.7","-0.3","-0.3","5.3","-1","-1.3","0.9","1.3","5.1","0.5","-0.3","0.4","1.8","3.1","4.8","-4.8","0.9","-53.5","-3.1","-14.7","4.4","7.7","3.5","1","18.1","3.5","361.6"
"Jun-2010","99.6","98.9","99.8","94.4","100.1","102","99.1","100.6","100.1","102.1","100","99.8","95.8","99.7","-11.2","-11.9","4.3","1.9","-0.7","-3.6","1.3","-0.5","0.3","-3.7","-13.4","-1.5","-1.8","0.2","-0.2","-0.7","0.6","-4.7","0.1","-23","0.6","-2.1","8.6","4.7","-9.5","2.4","0.6","1","365.8"
"Mar-2010","101.4","102.7","101.4","109.1","100.6","114.8","97.9","98.7","113.7","97.9","100.6","99.6","99.3","99.4","-47.6","1.1","-3.1","-4.6","6.6","-1.9","-2.7","-4.6","0.7","-1.8","2.4","-2.4","-3.4","-19.4","2","5.4","3.9","17.3","-0.5","-17.6","0.4","0.4","8.5","-1.2","-5.9","7.5","-4.9","0.3","343.8"
"Dec-2009","105","104.6","103.8","106.5","105.4","219.3","100.6","103.5","112.4","101.1","94.4","123.5","101.3","98.7","8.6","-5.5","0.3","2.3","-1","18.6","-0.7","3.5","1.5","7.7","2.2","8.5","5.2","20.5","0.8","7.3","4.9","28.5","-3.5","3.4","0","-3.6","9.9","-9.7","0.4","1.4","-3.8","0.2","353.8"
"Sep-2009","99.8","97.1","95.7","104.2","101.8","201.9","101.3","101.2","119","100.7","95.4","102.5","85.4","97.2","52.4","3.1","3.3","5.1","0.5","-10.3","2.8","1","-1.6","-2.5","5.2","-3.5","-0.4","-6.2","-6.2","-3.8","-4.9","4.2","-7.9","6.8","-6","-0.2","0.1","-15.8","-11.8","-1.5","-11.1","-1","356.8"
"Jun-2009","100.3","99.6","99.2","99.1","100.8","132.5","98.6","96.2","115.4","97.5","94.9","109.2","95.2","98.8","-5","1.9","-1.6","5.7","1.3","-8.9","1.1","-0.2","-0.4","2.2","6.6","1.7","0.8","3.2","-3.3","3.1","2.5","7.3","-7.4","-15.8","-6.3","-4.1","-2","-11.9","-7.3","-3.9","-5.1","1.9","347.2"
"Mar-2009","99.5","97.4","97.5","92.9","101.1","139.4","97.5","91","113.2","99.1","93.7","105.8","104.4","99.1","-34.3","-2.9","-11.5","-3.3","0.6","-0.8","-3","-7.5","0.7","-0.1","12.1","-1.5","-4.6","-14","-4.8","-0.9","-0.8","-2.1","-7.4","0.2","-13.3","-2","-7.5","-14.6","-6.3","-3.1","4.3","1.9","333.4"
"Dec-2008","104.2","97.5","99","82.9","109.2","212.1","100.5","94.1","116.6","112","93.1","123","105.3","98.5","12.2","-2.2","-6.4","-6.8","-3.8","9.7","-6.7","-1.2","0.3","-3.4","-17.1","-1.6","-2.1","5.9","-1.1","-4.3","-3","-14.4","1.1","10.9","-8.9","2.9","-5.1","2.9","11.5","1.7","-1.5","-1.5","313.7"
"Sep-2008","106.4","101","100.6","100","110.5","189.1","107.8","101.1","119.2","119.7","96.8","116.2","96","98.2","20.1","-1","8.1","3","-2","-4.3","2.5","1.5","1.2","4.5","8.4","4","2.7","-1.5","4.2","1.3","1.4","0.4","6.2","9.9","-5","3.4","2.4","16","11.5","3.8","2.4","-0.5","320.3"
"Jun-2008","103.7","96.6","96.7","92.3","108.9","157.4","105.1","98.1","120.3","110.7","98.8","117.9","100.3","97","13.2","4.1","-4.7","-0.2","2.1","0.1","-6.5","-0.2","-0.3","-1.7","-2.8","-1.6","-0.8","4.4","3","-1.6","-1","-5.6","6.2","-16","-1.9","9.7","3.7","8.2","8.4","5","10","0.2","316.6"
"Mar-2008","104.5","98.3","98.3","95","109.2","139","112.5","98.4","115.6","116.1","96.7","112.9","100.2","97.3","-27.3","2","6.7","-0.9","5.6","-6.3","2","1","-2.8","-3.5","-1.9","-3.7","-0.8","2.3","2.5","-0.2","-0.4","1","4.4","-21.6","6.6","7.7","8.7","-3.9","16","2.2","14.3","1.9","305.4"
"Dec-2007","105.4","101.9","102.1","96.8","108.1","191.3","110.3","99.2","113.3","108.8","91.6","110.4","106.9","100","11.2","-1.7","5.5","0.5","-1.8","14","-2.7","3.8","1.4","2.2","-2.8","2.9","3.1","6","6.2","5.9","7.8","-6.7","6.4","-13.3","8.8","7.4","7.9","10","0.7","1.4","7.7","2.5","299.3"
"Sep-2007","102.2","99.7","99.2","99.6","104.1","172.1","113.4","98.7","115.2","103.2","93.2","104.1","93.7","98.7","-8.2","5.1","0.9","4.3","-0.9","2.8","5.8","1.5","2","1.5","1.9","1.5","1.5","-4.2","1.8","1.2","0.6","5.2","2.3","-9.9","15.1","8.7","6.1","-5.6","5.2","2","-8.6","2.4","292.7"
"Jun-2007","100.7","98.1","97.7","97.8","102.6","187.5","107.2","94.6","109.7","102.3","94.1","108.7","91.1","96.8","5.6","2.2","-15.3","4.6","-0.5","4","1.6","-1.9","1.4","-0.4","4","-1","-1.3","11.6","1.5","0.6","0.2","4","2.2","-1.3","5.3","6.7","9.3","-4.9","13.8","7.4","-10.4","-0.6","285.5"
"Mar-2007","102","98.6","98.7","94","104.6","177.4","105.5","90.5","107.3","120.8","94.6","97.4","87.6","95.5","-19.6","1.8","22.1","-1.6","4.7","-11.7","4","3","-2.1","2.5","-9.4","4.2","2.8","-11.2","7","4.6","5.4","-1.2","8.7","-23.9","2.8","14.2","4.3","24","1.9","5.1","-8.1","0.3","272.8"
"Dec-2006","99.2","96.2","94.7","103.7","101.5","220.8","101.4","91.9","105.4","98.9","90.3","109.6","99.3","97.6","15.6","-0.6","-9.5","-1.1","-1.2","-3.2","2.9","-0.2","1.2","-2.4","9.6","-3.9","-1.1","10.7","8.6","10","10.6","5.8","7.7","19.7","2.9","21.6","0.5","0","21.8","7.9","5.6","5.3","257.9"
"Sep-2006","100.4","98.5","98.6","94.7","101.8","190.9","98.5","93","106","109.3","91.4","99","102.5","96.4","0.5","3.1","1.6","7.4","4.4","0.8","-3.2","1.3","-1","1","0.7","1","1.2","3.7","13.9","26.4","27.6","17.9","6.4","12","0.3","24.8","4.4","2.4","9.5","6.9","7","2.6","249.4"
"Jun-2006","99.2","97.5","97.6","94","100.4","189.9","101.8","86.5","102.8","107.5","87.6","95.5","101.8","97.3","-18.5","9.4","10.4","-0.2","-2.7","6.7","-0.8","4.4","2.2","3.5","-1.2","4.2","4","0","11.4","19.2","20.2","11.8","6.5","-17.2","0.9","22.6","-0.3","4.6","8.2","3.4","6.5","4","250.9"
"Mar-2006","95.3","94.2","93.7","95.1","96.2","233.1","102.6","86.7","93.9","97.4","90","95.5","95.4","95.2","26.4","8.3","-1.6","-5.1","7.4","1.4","4.1","2","2.7","7.8","-3","9.4","4.3","6.2","8.5","15.4","15.8","13.2","4","10.8","10.5","17","1.5","-2.3","1.1","8.1","1","-0.3","256.3"
"Dec-2005","91.4","87.4","85.6","98","94.3","184.4","98.6","91.4","86.7","99","83.8","90","94","92.6","8.2","2.1","-7.3","2.7","-2.1","-1.9","0.4","-1.4","-1.3","12.2","22","10.9","3.7","-0.5","5.7","10","8.9","17.8","2.9","-14.9","1.4","11","3.2","2.4","-1.4","5.5","-0.3","0.2","245.9"
"Sep-2005","88.1","77.9","77.2","80.3","95.7","170.5","98.2","89","85","106.7","85.5","90.5","95.8","93.9","-25.7","1.3","3.8","2.6","0.9","0.3","-2.7","1.4","0.3","-4.8","-4.4","-4.8","-1","2.5","5.1","0.8","0.2","5.5","7.8","-13.3","8","9","5.7","11.7","4.8","8.5","6.1","1.2","232.9"
